feature,gain,weight,cover
median_range_pct,39.131526947021484,658.0,1214.9119873046875
avg_body_pct,23.61347770690918,388.0,1618.8876953125
avg_wick_pct,14.40078067779541,472.0,1340.06982421875
cnt6_chop_calm,12.501871109008789,115.0,896.7416381835938
realized_vol,9.886181831359863,185.0,1100.645751953125
session_04-08,7.878305912017822,236.0,571.0418701171875
is_weekend,6.456933975219727,52.0,954.7249755859375
cur_bullish,5.558178901672363,50.0,2667.2978515625
session_12-16,5.2715983390808105,72.0,444.1297607421875
block_range_pct,5.263768672943115,211.0,1532.43896484375
q4_volume_ratio,5.212760925292969,412.0,1091.3984375
range_3b,4.948087692260742,310.0,1594.595458984375
day_of_week,4.931421279907227,342.0,1024.5352783203125
q4_range_share,4.7540435791015625,412.0,1105.7017822265625
session_20-00,4.5204949378967285,59.0,2636.092529296875
session_00-04,4.416143417358398,11.0,1216.8984375
prev2_chop_calm,4.247163772583008,56.0,2924.455078125
prev1_bearish,4.156522274017334,7.0,370.1123352050781
cur_chop_calm,4.1136860847473145,10.0,254.3959503173828
cnt6_bearish,4.067098140716553,77.0,1583.8648681640625
session_08-12,4.008442401885986,26.0,778.8272094726562
counter_tail_count,3.9208104610443115,22.0,638.7772216796875
prev1_bullish,3.9127938747406006,9.0,1147.433349609375
abs_net_pct,3.8819689750671387,150.0,988.1285400390625
control_vote_strength,3.849928379058838,145.0,1366.110107421875
vol_ratio,3.794250249862671,297.0,1048.785888671875
session_16-20,3.774035692214966,35.0,494.8882751464844
prev_range,3.7733054161071777,240.0,1425.3175048828125
second_half_magnitude,3.7498972415924072,215.0,1091.7646484375
longest_run,3.749236822128296,97.0,1809.1119384765625
prev_momentum_decay,3.7163617610931396,242.0,1080.6854248046875
range_change,3.7061190605163574,203.0,1270.255126953125
dir_consistency,3.7015700340270996,199.0,1107.759765625
cnt6_bullish,3.6840648651123047,51.0,1165.56396484375
close_position,3.6619558334350586,255.0,1081.7418212890625
body_imbalance,3.6360788345336914,90.0,778.18603515625
q4_agrees_with_block,3.6327767372131348,15.0,1252.30517578125
last_candle_wick_pct,3.6312336921691895,250.0,742.910888671875
cur_bearish,3.625718593597412,20.0,1793.646240234375
prev2_chop_volatile,3.615025281906128,17.0,1275.904052734375
counter_energy,3.6114163398742676,46.0,1060.5677490234375
cnt6_chop_volatile,3.5884311199188232,72.0,1785.27392578125
q4_range_expansion,3.5800070762634277,266.0,917.083740234375
dir_balance_12,3.5798683166503906,90.0,568.8397827148438
path_efficiency,3.5755481719970703,87.0,1031.6993408203125
winner_rejection,3.5708398818969727,179.0,918.6361694335938
prev1_chop_volatile,3.5685949325561523,29.0,1872.837158203125
wick_to_body,3.5592753887176514,259.0,1293.556396484375
q4_wick_to_body,3.5105457305908203,251.0,891.0508422851562
prev2_bullish,3.5084168910980225,36.0,1971.01171875
late_giveback,3.483468770980835,252.0,1174.9931640625
first_half_magnitude,3.462893009185791,206.0,1186.2420654296875
structure_strength,3.461463451385498,99.0,1028.7369384765625
cur_chop_volatile,3.44990611076355,5.0,252.64950561523438
halves_agree,3.44553279876709,13.0,852.9976806640625
abs_efficiency,3.436351776123047,102.0,794.5509643554688
control_strength_2h,3.435286283493042,134.0,739.6634521484375
control_strength_30m,3.404496192932129,140.0,1138.3895263671875
avg_overlap,3.3999016284942627,318.0,701.1258544921875
dir_balance_6,3.3976447582244873,91.0,1004.2531127929688
half_momentum_shift,3.3913896083831787,178.0,785.7219848632812
momentum_decay,3.378192663192749,182.0,933.5377807617188
prev2_bearish,3.337402820587158,8.0,391.41143798828125
color_uniformity,3.33573317527771,64.0,2070.8798828125
efficiency_3b,3.3241238594055176,256.0,1125.7005615234375
max_pullback_ratio,3.3184876441955566,256.0,962.4182739257812
wick_symmetry,3.3107521533966064,247.0,899.8931884765625
move_shrinking,3.310426712036133,6.0,1075.5316162109375
dir_streak,3.307701826095581,15.0,2230.077880859375
big_candle_freq,3.2714555263519287,60.0,1397.2225341796875
reversal_point,3.2101552486419678,87.0,504.20263671875
q4_winner_rejection,3.18705153465271,195.0,1030.373291015625
regime_streak,2.9501452445983887,10.0,924.24658203125
prev1_chop_calm,0.0,0.0,0.0
