feature,gain,weight,cover
median_range_pct,32.43094253540039,574.0,702.01806640625
avg_wick_pct,19.87711524963379,496.0,972.0645141601562
avg_body_pct,15.101015090942383,395.0,1009.6192016601562
realized_vol,11.404606819152832,177.0,960.758544921875
cur_bullish,10.849063873291016,120.0,1754.091796875
cnt6_chop_calm,9.966054916381836,118.0,1379.0042724609375
is_weekend,9.157715797424316,69.0,1020.4644775390625
cur_chop_volatile,8.147758483886719,47.0,1200.020751953125
session_04-08,7.848101615905762,162.0,617.1419067382812
dir_balance_6,7.16615104675293,104.0,1180.7877197265625
cur_bearish,6.825052738189697,87.0,1567.8218994140625
cnt6_bullish,6.095673084259033,59.0,1186.25146484375
day_of_week,5.944570541381836,367.0,930.3218383789062
dir_streak,5.7347307205200195,16.0,1178.3177490234375
prev2_bearish,5.680574893951416,112.0,1670.613525390625
prev1_bullish,5.669240951538086,98.0,1416.42822265625
q4_volume_ratio,4.829507827758789,471.0,653.1754150390625
session_16-20,4.599600315093994,74.0,703.9841918945312
prev1_chop_volatile,4.533246040344238,31.0,509.31756591796875
block_range_pct,4.522100925445557,184.0,832.8318481445312
session_12-16,4.484889507293701,58.0,481.4234924316406
tf_all_agree,4.378121376037598,2.0,346.257080078125
prev2_bullish,4.230108737945557,69.0,1499.9395751953125
q4_range_share,4.094821453094482,339.0,979.4120483398438
second_half_magnitude,4.0573906898498535,208.0,473.31884765625
control_vote_strength,4.0385870933532715,101.0,674.6817626953125
range_3b,4.013154983520508,233.0,678.5484008789062
session_08-12,3.9724063873291016,12.0,369.6917724609375
session_20-00,3.941610813140869,62.0,1182.1129150390625
dir_balance_12,3.911701202392578,144.0,833.94091796875
prev2_chop_volatile,3.904329299926758,12.0,700.4826049804688
path_efficiency,3.8983538150787354,143.0,990.7633056640625
regime_streak,3.8671059608459473,38.0,499.1222229003906
control_strength_2h,3.8431525230407715,112.0,761.9926147460938
abs_efficiency,3.8192331790924072,77.0,749.2334594726562
q4_range_expansion,3.7992820739746094,264.0,619.0933837890625
prev_range,3.7260923385620117,238.0,964.944091796875
late_giveback,3.7243599891662598,213.0,638.0595092773438
abs_net_pct,3.711899995803833,112.0,551.8809814453125
q4_agrees_with_block,3.7011072635650635,25.0,381.95086669921875
cnt6_chop_volatile,3.6606051921844482,27.0,421.50433349609375
prev1_bearish,3.6472532749176025,14.0,1302.9322509765625
efficiency_3b,3.617384433746338,297.0,769.5958251953125
cnt6_bearish,3.598846912384033,40.0,1450.7490234375
control_strength_15m,3.5905869007110596,114.0,737.20263671875
vol_ratio,3.5868215560913086,274.0,920.8560791015625
control_strength_1h,3.5848889350891113,167.0,786.1088256835938
counter_energy,3.5468404293060303,97.0,845.11669921875
close_position,3.5101234912872314,234.0,684.0349731445312
dir_consistency,3.5076000690460205,177.0,776.3140869140625
reversal_point,3.501875162124634,70.0,408.9015197753906
session_00-04,3.46682071685791,24.0,1180.70263671875
first_half_magnitude,3.46022629737854,209.0,641.8692626953125
structure_strength,3.4551918506622314,110.0,825.8364868164062
range_change,3.4502041339874268,240.0,736.0306396484375
momentum_decay,3.4452714920043945,312.0,1340.9354248046875
q4_wick_to_body,3.4155919551849365,261.0,736.35986328125
wick_symmetry,3.4016666412353516,230.0,701.0194091796875
half_momentum_shift,3.3873422145843506,197.0,504.9715576171875
move_shrinking,3.307645320892334,1.0,1366.7203369140625
counter_tail_count,3.304508924484253,38.0,1513.3798828125
wick_to_body,3.286787509918213,235.0,597.3275146484375
winner_rejection,3.279442548751831,231.0,531.016357421875
prev_momentum_decay,3.2713913917541504,195.0,558.4583129882812
max_pullback_ratio,3.216374158859253,174.0,468.0654296875
halves_agree,3.143334150314331,15.0,124.33240509033203
prev2_chop_calm,3.1260814666748047,2.0,1130.13037109375
avg_overlap,3.108262300491333,275.0,1114.8348388671875
q4_winner_rejection,3.030498504638672,237.0,593.1922607421875
last_candle_wick_pct,3.021470546722412,208.0,510.0196533203125
big_candle_freq,3.013267755508423,78.0,931.2250366210938
color_uniformity,2.9499940872192383,41.0,591.7385864257812
longest_run,2.7117812633514404,64.0,471.76641845703125
prev1_chop_calm,1.4047613143920898,1.0,64.54287719726562
cur_chop_calm,0.0,0.0,0.0
