feature,gain,weight,cover
median_range_pct,43.83563995361328,1953.0,1290.555908203125
avg_wick_pct,18.16030502319336,1838.0,1163.29052734375
avg_body_pct,16.371734619140625,1677.0,1106.1341552734375
cur_bullish,14.325678825378418,155.0,2004.9854736328125
cnt6_chop_calm,12.160626411437988,457.0,1316.5008544921875
session_04-08,10.784300804138184,500.0,812.81884765625
cur_bearish,9.719898223876953,174.0,2012.464111328125
is_weekend,8.618062973022461,160.0,1034.724365234375
prev1_bullish,7.771108627319336,220.0,1844.8770751953125
prev2_bearish,7.177433013916016,202.0,2134.34814453125
day_of_week,6.498525619506836,1304.0,878.9000854492188
session_12-16,6.227181911468506,253.0,696.1594848632812
dir_balance_6,6.216151237487793,416.0,1003.9961547851562
realized_vol,5.918099880218506,1268.0,1110.91943359375
session_20-00,5.9002461433410645,225.0,1661.0745849609375
cnt6_bullish,5.664444923400879,211.0,795.2372436523438
q4_volume_ratio,5.56159782409668,2186.0,987.3176879882812
prev2_bullish,5.327929973602295,156.0,1885.2764892578125
session_16-20,5.1332855224609375,234.0,1047.3372802734375
cur_chop_volatile,5.0331807136535645,95.0,628.2100830078125
dir_streak,4.77970027923584,53.0,1490.093505859375
cur_chop_calm,4.630207538604736,22.0,1298.77685546875
range_3b,4.573306083679199,1511.0,1032.0760498046875
block_range_pct,4.364986896514893,1319.0,1082.313720703125
prev1_chop_volatile,4.356748104095459,137.0,465.72723388671875
prev2_chop_calm,4.205054759979248,11.0,898.3519897460938
half_momentum_shift,4.116679668426514,1410.0,873.378662109375
session_08-12,3.982673406600952,78.0,578.6240234375
abs_net_pct,3.9728951454162598,915.0,955.1102905273438
second_half_magnitude,3.966365337371826,1787.0,852.6016845703125
q4_range_share,3.9465341567993164,1753.0,952.34375
dir_balance_12,3.887047290802002,734.0,861.0206298828125
q4_range_expansion,3.861553430557251,2049.0,984.3597412109375
session_00-04,3.8466475009918213,131.0,1008.0554809570312
path_efficiency,3.747668743133545,970.0,956.0671997070312
dir_consistency,3.7381808757781982,1648.0,879.7319946289062
late_giveback,3.7369935512542725,1668.0,907.8597412109375
max_pullback_ratio,3.6922202110290527,2036.0,896.592041015625
prev2_chop_volatile,3.691943407058716,75.0,383.5954284667969
counter_energy,3.689089298248291,856.0,962.6666259765625
vol_ratio,3.684488534927368,1992.0,989.64599609375
last_candle_wick_pct,3.6650924682617188,1985.0,858.7969360351562
control_strength_15m,3.664682149887085,1194.0,1030.5816650390625
efficiency_3b,3.654702663421631,1857.0,948.9815673828125
range_change,3.6022541522979736,1859.0,1051.99951171875
prev1_bearish,3.5890326499938965,86.0,1616.925537109375
abs_efficiency,3.58091402053833,990.0,1002.7999877929688
control_strength_1h,3.5546295642852783,1408.0,980.341796875
close_position,3.55253267288208,1900.0,853.8447875976562
winner_rejection,3.552530527114868,1610.0,842.6622924804688
q4_agrees_with_block,3.542719841003418,151.0,735.9514770507812
first_half_magnitude,3.5210139751434326,1582.0,880.4635620117188
wick_symmetry,3.5093648433685303,1845.0,853.6296997070312
structure_strength,3.502638101577759,928.0,1029.6419677734375
prev_momentum_decay,3.4783942699432373,1856.0,842.6211547851562
q4_wick_to_body,3.4771814346313477,2024.0,981.3876953125
tf_all_agree,3.4705448150634766,38.0,1531.5458984375
regime_streak,3.468099355697632,393.0,1016.3088989257812
q4_winner_rejection,3.4623281955718994,2025.0,756.5588989257812
longest_run,3.449612617492676,474.0,825.5387573242188
avg_overlap,3.447676181793213,2168.0,896.6859130859375
prev_range,3.429319381713867,1511.0,957.9069213867188
cnt6_bearish,3.4281890392303467,240.0,1317.2518310546875
wick_to_body,3.4123141765594482,1821.0,914.7800903320312
control_strength_2h,3.383317708969116,924.0,780.158203125
control_vote_strength,3.380606174468994,747.0,1079.68603515625
momentum_decay,3.3698649406433105,2078.0,963.3239135742188
cnt6_chop_volatile,3.3438162803649902,289.0,833.942626953125
reversal_point,3.3326094150543213,633.0,723.102294921875
halves_agree,3.309265613555908,74.0,292.3204040527344
big_candle_freq,3.269320249557495,482.0,1181.012939453125
color_uniformity,3.245817184448242,260.0,894.4812622070312
move_shrinking,3.2312536239624023,9.0,2352.134521484375
counter_tail_count,2.98653244972229,261.0,1295.6273193359375
prev1_chop_calm,2.8292622566223145,1.0,120.96685028076172
